"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"dist_0";"word_lex_1";"word_form_1";"word_gramm_1";"word_pos_1";"dist_1";"word_lex_2";"word_form_2";"word_gramm_2";"word_pos_2";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"экскурсия";"экскурсия";"S,f,inan,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"музей";"музей";"S,acc,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"ящик";"ящик";"S,inan,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"краска";"красками";"S,f,inan,ins,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"атака";"атака";"S,f,inan,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"юкос";"юкос";"S,acc,inan,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"вальс";"вальс";"S,inan,m,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"сопка";"сопках";"S,f,inan,loc,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"ветер";"ветер";"S,inan,m,nom,sg";"S";"1";"с";"с";"PR";"PR";"1";"нева";"невы";"S,f,gen,inan,sg,topon";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"волос";"волоса";"S,inan,m,nom,pl";"S";"1";"на";"на";"PR";"PR";"1";"голова";"голове";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"воспитание";"воспитание";"S,inan,n,nom,sg";"S";"1";"в";"в";"PR";"PR";"1";"семья";"семье";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"восстание";"восстание";"S,inan,n,nom,sg";"S";"1";"на";"на";"PR";"PR";"1";"броненосец";"броненосце";"S,inan,loc,m,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"встреча";"встреча";"S,f,inan,nom,sg";"S";"1";"со";"со";"PR";"PR";"1";"зритель";"зрителями";"S,anim,ins,m,pl";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
"выступление";"выступления";"S,inan,n,nom,pl";"S";"1";"в";"в";"PR";"PR";"1";"печать";"печати";"S,f,inan,loc,sg";"S";"1.2e-05";"6.864703940008596e-06";"2.0976789104111725e-05";"0.03299818563066442";"0.018876897909329757";"0.057682998399398125";"12.851832";"7.352001813894046";"22.4658474554562"
